Feature,Precision,Recall
AQI_group,0.2959770114942529,0.2959770114942529
sun_set_group,0.7586206896551724,0.7586206896551724
Fine Particulate Matter (micrograms per cubic meter)_group,0.4109195402298851,0.4109195402298851
night_duration_group,0.22126436781609196,0.22126436781609196
day_duration_group,0.7787356321839081,0.7787356321839081
