93,1044,863,577,13.0,0
122,1045,862,578,9.0,0
127,1045,862,578,11.0,0
129,1046,861,579,19.0,0
95,1047,860,580,12.0,0
95,1048,859,581,11.0,0
127,1049,858,582,9.0,0
89,1050,857,583,8.0,0
97,1051,856,584,13.0,0
119,1052,855,585,19.0,0
137,1053,854,586,27.0,0
155,1054,853,587,40.0,0
180,1055,852,588,36.0,0
174,1056,850,590,27.0,0
161,1057,849,591,33.0,0
152,1058,848,592,34.0,0
87,1059,846,594,13.0,0
95,1060,845,595,15.0,0
99,1061,844,596,13.0,0
151,1062,842,598,22.0,0
124,1063,841,599,26.0,0
87,1064,839,601,22.0,0
38,1065,838,602,6.0,0
46,1066,836,604,8.0,0
72,1067,835,605,14.0,0
97,1068,833,607,23.0,0
107,1069,831,609,18.0,0
102,1071,829,611,16.0,0
91,1076,820,620,18.0,0
87,1077,818,622,18.0,0
76,1078,816,624,15.0,0
74,1079,814,626,14.0,0
151,1081,811,629,36.0,0
158,1082,809,631,45.0,0
80,1083,807,633,17.0,0
70,1084,805,635,13.0,0
89,1085,803,637,21.0,0
147,1086,801,639,41.0,0
158,1087,799,641,52.0,0
162,1088,797,643,57.0,0
166,1089,795,645,66.0,0
134,1090,793,647,35.0,0
70,1091,790,650,13.0,0
110,1092,788,652,12.0,0
112,1094,785,655,14.0,0
107,1095,783,657,20.0,0
152,1096,781,659,32.0,0
156,1097,778,662,40.0,0
137,1098,776,664,25.0,0
137,1099,774,666,15.0,0
122,1100,772,668,19.0,0
129,1101,769,671,28.0,0
89,1102,767,673,19.0,0
59,1103,765,675,9.0,0
70,1104,762,678,13.0,0
53,1106,757,683,9.0,0
38,1107,755,685,6.0,0
91,1108,753,687,18.0,0
99,1109,750,690,21.0,0
99,1110,748,692,22.0,0
74,1111,745,695,15.0,0
68,1112,743,697,14.0,0
102,1113,741,699,24.0,0
115,1114,738,702,29.0,0
161,1115,736,704,58.0,0
174,1116,733,707,82.0,0
153,1116,732,708,43.0,0
132,1117,729,711,35.0,0
156,1118,727,713,55.0,0
157,1119,724,716,57.0,0
156,1120,722,718,16.0,0
167,1121,719,721,18.0,0
167,1122,717,723,37.0,0
155,1123,714,726,24.0,0
78,1124,712,728,12.0,0
112,1125,709,731,31.0,0
105,1126,707,733,16.0,0
158,1127,704,736,24.0,0
144,1128,702,738,22.0,0
151,1129,699,741,27.0,0
156,1129,698,742,40.0,0
142,1130,695,745,30.0,0
61,1131,693,747,13.0,0
332,1132,690,750,41.0,0
192,1133,688,752,26.0,0
102,1134,685,755,16.0,0
112,1135,683,757,12.0,0
124,1136,680,760,12.0,0
82,1137,678,762,11.0,0
38,1138,675,765,5.0,0
68,1138,674,766,10.0,0
102,1139,671,769,21.0,0
124,1140,669,771,29.0,0
91,1141,666,774,16.0,0
89,1142,664,776,16.0,0
91,1143,661,779,19.0,0
112,1144,659,781,24.0,0
91,1145,656,784,19.0,0
53,1146,654,786,8.0,0
78,1147,652,788,13.0,0
99,1148,649,791,20.0,0
84,1148,648,792,13.0,0
162,1149,646,794,18.0,0
89,1150,643,797,13.0,0
119,1151,641,799,20.0,0
152,1152,638,802,30.0,0
160,1153,636,804,35.0,0
158,1154,634,806,36.0,0
112,1155,632,808,20.0,0
72,1156,629,811,11.0,0
